Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
AOJ447_pass_17d80546_8c1c4ab7_8	0.0	44.0	2113.311	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_80	0.20000000000000284	44.0	2079.912	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_81	0.09999999999999432	44.0	2055.302	40.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_82	0.29999999999999716	44.0	2042.555	40.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_83	0.20000000000000284	44.0	2115.314	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_84	0.0	44.0	2142.713	40.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_85	0.29999999999999716	44.0	2021.707	40.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_86	0.4000000000000057	44.0	2038.993	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_87	0.0	44.0	2089.902	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_88	0.20000000000000284	44.0	2097.102	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_89	0.20000000000000284	44.0	1983.053	40.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_9	0.20000000000000284	44.0	2071.971	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_90	0.0	44.0	2059.931	30.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_91	0.09999999999999432	44.0	2113.793	40.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_92	0.0	44.0	2109.318	40.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_93	0.20000000000000284	44.0	2094.939	40.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_94	0.0	44.0	2115.945	40.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_95	0.09999999999999432	44.0	2118.722	40.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_96	0.09999999999999432	44.0	2007.098	40.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_97	0.29999999999999716	44.0	2044.494	40.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_98	0.0	44.0	2041.257	40.0	1000.0
AOJ447_pass_17d80546_8c1c4ab7_99	0.09999999999999432	44.0	2078.714	40.0	1000.0
